Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
8kUr3TuaG3sypX7ocs4Asjft4rZDJr3K1RnJi5uUbEyg,8.24%,?,"$-6,924.29","$35,139.12",?,[],1.05,https://gmgn.ai/sol/address/8kUr3TuaG3sypX7ocs4Asjft4rZDJr3K1RnJi5uUbEyg,123
8ZtRfs6e3BRDdTb6xCjo8mfGzh6C87NbuWicMF7vLw9L,32.86%,0s,$0.00,"$284,956.32",?,"['axiom', 'trojan']",0.00,https://gmgn.ai/sol/address/8ZtRfs6e3BRDdTb6xCjo8mfGzh6C87NbuWicMF7vLw9L,0
8rwVXLsd1o2cVedxtevpn8KYmV7HD3kT84PX28zqRjsA,21.93%,731.89h,$910.15,"$12,267.44",37.50%,[],0.48,https://gmgn.ai/sol/address/8rwVXLsd1o2cVedxtevpn8KYmV7HD3kT84PX28zqRjsA,33
8tv5AAspMZm1bqUvHr5QegF6pW7gudqSERhrfw89A6NE,25.39%,105.44h,$236.33,"$33,875.59",100.00%,['photon'],2.70,https://gmgn.ai/sol/address/8tv5AAspMZm1bqUvHr5QegF6pW7gudqSERhrfw89A6NE,4
94HnNyEmJeMy7SoxPKKiTpDj5y3h7Z7wN27Mi7hqGEgD,4.86%,?,"$2,118.81","$45,881.82",?,[],0.00,https://gmgn.ai/sol/address/94HnNyEmJeMy7SoxPKKiTpDj5y3h7Z7wN27Mi7hqGEgD,81
96LGovXvNaGGX4ZjE7axTixHba6sX1UeYPGTmRQAbs2r,7.73%,0s,$0.00,"$33,239.92",?,[],0.15,https://gmgn.ai/sol/address/96LGovXvNaGGX4ZjE7axTixHba6sX1UeYPGTmRQAbs2r,0
9BE9ZEqtfoQmuDSu8auvX9Jpz4TBcED9SSQSxsrwvSga,10.12%,0s,$0.00,"$13,832.75",?,[],0.37,https://gmgn.ai/sol/address/9BE9ZEqtfoQmuDSu8auvX9Jpz4TBcED9SSQSxsrwvSga,0
99HXufoq4yepb8hNKgd1ghXRKMwAfMoXCZjAdXxXyEUh,85.48%,0s,$0.00,"$100,779.85",?,[],285.14,https://gmgn.ai/sol/address/99HXufoq4yepb8hNKgd1ghXRKMwAfMoXCZjAdXxXyEUh,0
9WRBkPev8cBFnkuszZJRCypgNzUXGPWtXdAjvESbZdyn,8487.69%,?,$0.00,"$122,747.00",?,[],0.00,https://gmgn.ai/sol/address/9WRBkPev8cBFnkuszZJRCypgNzUXGPWtXdAjvESbZdyn,0
9gM2bB5FakP6zKbC4NAwZb8d1AaauJ5mu3XWZbjzJsaf,4.70%,973.38h,$144.07,"$5,736.48",50.00%,[],150.84,https://gmgn.ai/sol/address/9gM2bB5FakP6zKbC4NAwZb8d1AaauJ5mu3XWZbjzJsaf,2
9iKhXzRjKDNUCp63m5E6uXdoCRNRu7tyfAUZC1DFUipD,38.24%,113.24h,"$-8,758.37",$144.13,0.00%,[],189.80,https://gmgn.ai/sol/address/9iKhXzRjKDNUCp63m5E6uXdoCRNRu7tyfAUZC1DFUipD,7
9m2dKyassfUDfz1GMNzqLfrzgvVyHYeDoq5F3oLat3K3,16.78%,1.9285714285714286s,"$6,032.41","$53,047.38",62.96%,['gmgn'],49.43,https://gmgn.ai/sol/address/9m2dKyassfUDfz1GMNzqLfrzgvVyHYeDoq5F3oLat3K3,54
9u1DGk9HLRioYsbMFgqHA3GXvcjqsfSoQPXKxAcTPz4M,140.00%,0s,$0.00,"$973,909.81",?,[],0.00,https://gmgn.ai/sol/address/9u1DGk9HLRioYsbMFgqHA3GXvcjqsfSoQPXKxAcTPz4M,0
9u7FwSjESxyydVRQyU9bSjxtHGM1SwnqPJ4mcv3645FV,11.63%,458.81h,"$4,846.65","$41,746.70",72.22%,[],0.09,https://gmgn.ai/sol/address/9u7FwSjESxyydVRQyU9bSjxtHGM1SwnqPJ4mcv3645FV,146
9xn3JjPreFAaAEBZL3VVvcou33jrfRWhsuiNbD4sJcEe,0.64%,37.46m,"$26,053.33","$-29,112.66",100.00%,[],1.10,https://gmgn.ai/sol/address/9xn3JjPreFAaAEBZL3VVvcou33jrfRWhsuiNbD4sJcEe,22
ABp45TFMS8AkrccVnvqsgBWMK7sZiVjEG43BzeqsCacK,2.47%,0s,$-328.96,"$12,241.53",40.00%,[],0.03,https://gmgn.ai/sol/address/ABp45TFMS8AkrccVnvqsgBWMK7sZiVjEG43BzeqsCacK,100
A1C6MhioaEYTaock4vxYMgGHREWrkdZ3bEWkvyHmAcXW,-2.56%,258.82h,"$-50,582.60","$-42,614.66",38.18%,['bluechip_owner'],1.72,https://gmgn.ai/sol/address/A1C6MhioaEYTaock4vxYMgGHREWrkdZ3bEWkvyHmAcXW,102
AMkjtEB1ZnZ4XHcHf2GwVFYRu4mnzpXvZd7Lt31kUmRs,231.68%,0s,$0.00,"$33,799.15",?,['photon'],0.00,https://gmgn.ai/sol/address/AMkjtEB1ZnZ4XHcHf2GwVFYRu4mnzpXvZd7Lt31kUmRs,0
APUnpSv4HDpNPfed4dPqAnz75REWYbM5vTHaTnApLe1P,22.72%,378.75h,"$119,171.24","$156,576.90",85.71%,[],3.48,https://gmgn.ai/sol/address/APUnpSv4HDpNPfed4dPqAnz75REWYbM5vTHaTnApLe1P,3210
ARNvvMi2Bvt4BVktjFjeheWCgK5SBAQoHpob4EYdeivx,44.94%,72.23h,$574.66,"$13,840.51",70.91%,['photon'],30.76,https://gmgn.ai/sol/address/ARNvvMi2Bvt4BVktjFjeheWCgK5SBAQoHpob4EYdeivx,84
AWPmgAr6xDJUhCa2Wxna5gd14UT98hicTXdow9XkYnNX,15.96%,500.83h,"$138,080.88","$303,956.61",70.31%,['bluechip_owner'],180.01,https://gmgn.ai/sol/address/AWPmgAr6xDJUhCa2Wxna5gd14UT98hicTXdow9XkYnNX,333
AagiTTSkwa9By4smhCFYPS6PKrNfdsv64Gf4KschPePE,3.56%,94.70h,"$1,650.49","$15,618.19",100.00%,[],1.40,https://gmgn.ai/sol/address/AagiTTSkwa9By4smhCFYPS6PKrNfdsv64Gf4KschPePE,29
AfwNi3FBb1zFpBxMerawpq5fTf7vdGfSRQnfmkU8YT8h,8.25%,81.41h,"$21,266.10","$36,229.18",71.43%,[],6.40,https://gmgn.ai/sol/address/AfwNi3FBb1zFpBxMerawpq5fTf7vdGfSRQnfmkU8YT8h,41
Ap4K3HkiYbSL5zTu3LfNyY67F5KEYmH8V8zohoFgkgng,45.65%,0s,$0.00,"$2,746.27",?,[],0.00,https://gmgn.ai/sol/address/Ap4K3HkiYbSL5zTu3LfNyY67F5KEYmH8V8zohoFgkgng,0
Aq8LvQuK3WdFEv2EyrdFvUxH1iW1imbrRD1PjJD12eDd,14.33%,59.20h,$-14.50,"$-67,340.42",0.00%,[],0.99,https://gmgn.ai/sol/address/Aq8LvQuK3WdFEv2EyrdFvUxH1iW1imbrRD1PjJD12eDd,59
B2FhC6r3pF2oj23eHXq9uqGYYJ3th3txusnhtH12auw,0.44%,331.15h,"$-1,484.77","$-30,571.72",35.48%,[],0.51,https://gmgn.ai/sol/address/B2FhC6r3pF2oj23eHXq9uqGYYJ3th3txusnhtH12auw,125
B5hcNUxRw625xWKhZk7eahekR2PZGbWNvvbEVvoXTmh8,7.56%,850.51h,$725.03,"$-1,015.89",100.00%,['bluechip_owner'],0.23,https://gmgn.ai/sol/address/B5hcNUxRw625xWKhZk7eahekR2PZGbWNvvbEVvoXTmh8,11
